Cumulative Instructions,IPC_19,IPC_03,Speed_up
88135889002,1.2583,2.6752,2.126043074
88517984682,1.5399,2.7014,1.754269758
88745641871,0.6552,2.7171,4.146978022
89198821588,1.5539,1.8726,1.205096853
89580869185,1.1273,1.1128,0.987137408
89969647640,1.1311,1.7493,1.546547609
90344709407,1.1052,1.7294,1.564784654
90741413809,1.1534,1.3123,1.137766603
91121801996,1.1217,1.2464,1.111170545
91518642329,1.1538,1.2394,1.074189634
91896838770,1.115,1.2384,1.110672646
92289292280,1.1421,1.2276,1.074862096
92668159779,1.1175,1.2271,1.098076063
93064214610,1.151,1.2351,1.073066898
93468928748,1.2055,1.2465,1.034010784
93860305510,1.1677,1.2354,1.05797722
94249362797,1.1601,1.2435,1.071890354
94651351290,1.1525,1.2487,1.083470716
95043583638,1.1702,1.2323,1.053067852
95437072856,1.1735,1.1933,1.016872603
95827285514,1.1635,1.1721,1.007391491
96236231261,1.1726,1.1675,0.995650691
96630353905,1.1736,1.1728,0.999318337
97015548496,1.1468,1.1737,1.023456575
97388304703,1.0842,1.1709,1.079966796
97781367093,1.1437,1.1681,1.021334266
98155445593,1.1032,1.1709,1.061366933
98546008776,1.1348,1.1556,1.018329221
98925877799,1.1201,1.1424,1.019908937
99321855324,1.1512,1.1595,1.007209868
99701305066,1.1187,1.2475,1.115133637
1E+11,1.1501,1.2304,1.069820016
1E+11,1.1097,1.2304,1.108768136
1.01E+11,1.1633,1.2429,1.068426029
1.01E+11,1.0955,1.2429,1.134550434
1.02E+11,1.2203,1.2317,1.009341965
1.02E+11,1.1448,1.2317,1.075908456
1.02E+11,1.2,1.2317,1.026416667
1.03E+11,1.16,1.2455,1.073706897
1.03E+11,1.1502,1.2455,1.082855156
1.04E+11,1.129,1.1973,1.060496014
1.04E+11,1.1962,1.1973,1.000919579
1.04E+11,1.1804,1.1973,1.014317181
1.05E+11,1.1736,1.144,0.974778459
1.05E+11,1.1174,1.144,1.023805262
1.06E+11,1.1621,1.1673,1.004474658
1.06E+11,1.1092,1.1673,1.052380094
1.06E+11,1.1245,1.1673,1.038061361
1.07E+11,1.1183,1.138,1.017616024
1.07E+11,1.1098,1.138,1.025409984
1.08E+11,1.1277,1.1913,1.056397978
1.08E+11,1.1428,1.1913,1.042439622
1.08E+11,1.1219,1.1913,1.061859346
1.09E+11,1.1351,1.2582,1.108448595
1.09E+11,1.1434,1.2582,1.100402309
1.09E+11,1.1181,1.2582,1.125301851
1.1E+11,1.153,1.2425,1.077623591
1.1E+11,1.2088,1.2425,1.027878888
1.11E+11,1.1747,1.2351,1.051417383
1.11E+11,1.1612,1.2351,1.063641061
1.11E+11,1.1246,1.2351,1.098257158
1.12E+11,1.1989,1.2503,1.042872633
1.12E+11,1.1727,1.2503,1.066172082
1.13E+11,1.1674,1.1822,1.012677745
1.13E+11,1.1448,1.1822,1.032669462
1.13E+11,1.1958,1.1822,0.988626861
1.14E+11,1.1611,1.1611,1
1.14E+11,1.0909,1.1611,1.064350536
1.15E+11,1.1375,1.1933,1.049054945
1.15E+11,1.1055,1.1933,1.079421076
1.15E+11,1.1225,1.1933,1.063073497
1.16E+11,1.1169,1.133,1.014414898
1.16E+11,1.1407,1.133,0.993249759
1.16E+11,1.1302,1.133,1.002477438
1.17E+11,1.1494,1.2363,1.075604663
1.17E+11,1.1051,1.2363,1.118722288
1.18E+11,1.16,1.2544,1.08137931
1.18E+11,1.1164,1.2544,1.123611609
1.18E+11,1.2144,1.2544,1.032938076
1.19E+11,1.1584,1.2371,1.067938536
1.19E+11,1.1735,1.2371,1.054196847
1.2E+11,1.1759,1.2327,1.048303427
1.2E+11,1.2209,1.2327,1.009665001
1.2E+11,1.1675,1.2327,1.055845824
1.21E+11,1.1462,1.1776,1.02739487
1.21E+11,1.2131,1.1776,0.970736131
1.22E+11,1.1815,1.1666,0.987388912
1.22E+11,1.1404,1.1666,1.022974395
1.22E+11,1.1462,1.1666,1.017797941
1.23E+11,1.0773,1.1865,1.101364522
1.23E+11,1.146,1.1865,1.035340314
1.24E+11,1.1035,1.146,1.03851382
1.24E+11,1.1295,1.146,1.014608234
1.24E+11,1.1126,1.146,1.030019774
1.25E+11,1.1513,1.25,1.085729176
1.25E+11,1.1238,1.25,1.112297562
1.25E+11,1.1391,1.25,1.097357563
1.26E+11,1.1403,1.2241,1.073489433
1.26E+11,1.1412,1.2241,1.072642832
1.27E+11,1.1712,1.2337,1.053364071
1.27E+11,1.1797,1.2337,1.045774349
1.27E+11,1.1837,1.2337,1.042240433
1.28E+11,1.1626,1.2548,1.079305006
1.28E+11,1.1442,1.2548,1.096661423
1.29E+11,1.1623,1.1738,1.009894175
1.29E+11,1.1838,1.1738,0.991552627
1.29E+11,1.1672,1.1738,1.005654558
1.3E+11,1.1777,1.1694,0.992952365
1.3E+11,1.1495,1.1694,1.017311875
1.31E+11,1.1453,1.1729,1.024098489
1.31E+11,1.4955,1.1729,0.784286192
1.31E+11,1.9776,1.1729,0.593092638
1.32E+11,2.042,1.1194,0.548188051
1.32E+11,2.1989,1.1194,0.509072718
1.33E+11,2.1291,3.4247,1.608520032
1.34E+11,2.2285,2.624,1.177473637
1.35E+11,2.3042,2.7639,1.199505251
1.35E+11,2.1545,2.7639,1.282849849
1.36E+11,2.2235,2.6731,1.202203733
1.37E+11,2.1392,2.532,1.183620045
1.38E+11,2.2225,2.8216,1.269561305
1.38E+11,2.2832,2.8216,1.23580939
1.39E+11,2.2068,2.6768,1.212978068
1.4E+11,2.1329,2.532,1.187116133
1.41E+11,2.2056,2.745,1.244559304
1.41E+11,2.4995,2.745,1.098219644
1.42E+11,3.1003,2.6128,0.842757153
1.43E+11,3.736,2.6675,0.713998929
1.44E+11,2.0048,4.1438,2.066939346
1.45E+11,2.7349,3.8747,1.416761125
1.45E+11,2.3152,3.8747,1.673591914
1.46E+11,2.2184,3.7102,1.672466643
1.47E+11,2.9503,3.5458,1.20184388
1.48E+11,3.4961,2.8372,0.811532851
1.49E+11,3.7823,3.5078,0.927425112
1.5E+11,1.6968,4.1785,2.462576615
1.51E+11,1.8238,4.4885,2.461070293
1.52E+11,3.6728,2.107,0.573676759
1.53E+11,2.7442,3.32,1.209824357
1.54E+11,2.4032,4.533,1.88623502
1.54E+11,2.5174,4.533,1.800667355
1.55E+11,1.9771,3.913,1.979161398
1.56E+11,3.05,3.2929,1.079639344
1.57E+11,2.648,2.7937,1.055022659
1.59E+11,4.1755,3.7698,0.902837983
1.59E+11,1.7474,3.7698,2.157376674
1.6E+11,1.7732,4.0246,2.269681931
1.61E+11,3.3525,4.2794,1.276480239
1.62E+11,3.1091,2.1349,0.686661735
1.63E+11,2.1122,3.3292,1.576176498
1.64E+11,2.7138,4.5235,1.66685091
1.64E+11,2.0564,4.5235,2.199717954
1.65E+11,2.9633,3.3029,1.114601964
1.66E+11,2.531,2.8818,1.138601343
1.68E+11,4.1773,3.7906,0.907428243
1.68E+11,2.0451,3.7906,1.853503496
1.69E+11,1.757,4.0152,2.285258964
1.7E+11,3.0615,4.2399,1.384909358
1.71E+11,3.3037,2.1348,0.646184581
1.72E+11,2.2752,3.332,1.464486639
1.73E+11,2.6649,4.5292,1.699575969
1.74E+11,2.135,3.9094,1.831100703
1.75E+11,2.5706,3.2896,1.279701237
1.75E+11,2.4898,3.2896,1.321230621
1.77E+11,4.1879,3.3751,0.805917047
1.78E+11,2.3662,3.9226,1.657763503
1.78E+11,1.7982,3.9226,2.181403626
1.79E+11,2.508,4.054,1.616427432
1.81E+11,3.871,2.2847,0.590209248
1.81E+11,2.0282,2.2847,1.126466818
1.82E+11,2.7911,3.3359,1.19519186
1.83E+11,2.1598,4.3871,2.031252894
1.84E+11,2.1966,3.3469,1.523672949
1.85E+11,2.9267,2.8764,0.982813408
1.86E+11,3.5856,3.4238,0.954875056
1.87E+11,3.211,3.9711,1.236717533
1.88E+11,1.737,3.9879,2.295854922
1.88E+11,1.7765,3.9879,2.244807205
1.88E+11,2.3947,3.9879,1.665302543
1.89E+11,1.9634,4.0047,2.039676072
1.9E+11,2.5906,2.083,0.804060835
1.9E+11,2.069,2.083,1.006766554
1.91E+11,1.7205,2.6912,1.564196455
1.91E+11,1.7475,2.6912,1.540028612
1.92E+11,1.7301,2.7655,1.598462517
1.93E+11,1.8197,2.7966,1.536846733
1.93E+11,1.8855,2.7966,1.483214002
1.94E+11,1.8386,2.7928,1.518981834
1.95E+11,1.738,2.789,1.604718067
1.95E+11,1.8677,2.789,1.493280505
1.96E+11,1.8478,2.8132,1.522459141
1.96E+11,1.2654,2.8132,2.223170539
1.97E+11,1.1935,3.0839,2.583912861
1.97E+11,1.4923,3.0839,2.06654158
1.98E+11,2.0065,3.4003,1.694642412
1.99E+11,2.5304,3.7167,1.468819159
1.99E+11,2.0275,3.7167,1.833144266
2E+11,1.7034,2.786,1.635552425
2E+11,1.7453,2.786,1.596287171
2.01E+11,1.7494,2.7493,1.571567395
2.02E+11,1.7892,2.8039,1.567124972
2.02E+11,1.9162,2.8039,1.46326062
2.03E+11,1.7779,2.7951,1.572135666
2.04E+11,1.7911,2.7994,1.562950142
2.04E+11,1.919,2.7994,1.458780615
2.05E+11,1.6191,2.8037,1.731641035
2.05E+11,1.2743,2.8037,2.200188339
2.06E+11,1.1842,2.9958,2.529809154
2.06E+11,1.837,2.9958,1.630811105
2.07E+11,2.3011,3.3314,1.447742384
2.08E+11,2.3362,3.667,1.56964301
2.09E+11,1.7854,2.7599,1.545816064
2.09E+11,1.6778,2.7599,1.644951722
2.1E+11,1.7448,2.7518,1.577143512
2.1E+11,1.8559,2.7518,1.482730751
2.11E+11,1.7866,2.7673,1.548919736
2.12E+11,1.9194,2.7828,1.449828071
2.12E+11,1.6843,2.7828,1.652199727
2.13E+11,1.9159,2.7828,1.452476643
2.14E+11,1.8662,2.7922,1.496195477
2.14E+11,1.3349,2.7922,2.091692262
2.14E+11,1.2496,2.7922,2.234475032
2.15E+11,1.3294,3.0778,2.31517978
2.16E+11,2.0391,3.3635,1.649502231
2.16E+11,2.5788,3.3635,1.304288817
2.17E+11,2.0343,3.1628,1.554736273
2.18E+11,1.7365,2.8556,1.644457242
2.18E+11,1.7454,2.8556,1.636071961
2.19E+11,1.7326,2.8328,1.634999423
2.2E+11,1.802,2.8099,1.559322974
2.2E+11,1.9028,2.8099,1.47671852
2.21E+11,1.8033,2.7857,1.544779016
2.21E+11,1.7711,2.7857,1.572864322
2.22E+11,1.9174,2.813,1.467090852
2.23E+11,1.6214,2.7973,1.725237449
2.23E+11,1.3207,2.7973,2.118043462
2.24E+11,1.204,3.2319,2.684302326
2.24E+11,1.7193,3.2319,1.879776653
2.25E+11,2.3416,3.6665,1.565809703
2.26E+11,2.2417,2.8587,1.275237543
2.26E+11,1.8785,2.8587,1.521799308
2.27E+11,1.6766,2.8579,1.704580699
2.27E+11,1.7674,2.8579,1.617008034
2.28E+11,1.8045,2.8572,1.583374896
2.29E+11,1.8001,2.8034,1.557357925
2.29E+11,1.9601,2.8034,1.430233151
2.3E+11,1.6811,2.7969,1.66373208
2.31E+11,1.8764,2.8006,1.492538904
2.31E+11,2.0137,2.8006,1.390773204
2.32E+11,1.3096,2.8042,2.141264508
2.32E+11,1.2491,2.8042,2.244976383
2.33E+11,1.1761,3.0652,2.606240966
2.33E+11,1.3146,3.0652,2.33165982
2.33E+11,1.4294,3.0652,2.14439625
2.34E+11,1.5537,3.6446,2.345755294
2.34E+11,1.4345,3.6446,2.540676194
2.35E+11,1.3848,1.9132,1.381571346
2.35E+11,1.5612,1.9132,1.225467589
2.36E+11,1.4234,1.7894,1.257130814
2.36E+11,1.4753,1.7894,1.21290585
2.37E+11,1.4214,1.8761,1.319895877
2.37E+11,1.3835,1.8761,1.356053488
2.38E+11,1.3147,1.8778,1.428310641
2.38E+11,1.3817,1.8778,1.359050445
2.39E+11,1.5503,1.7803,1.148358382
2.39E+11,1.496,1.7803,1.190040107
2.4E+11,1.3765,1.9066,1.385107156
2.4E+11,1.5249,1.9066,1.250311496
2.41E+11,1.4666,1.8025,1.229033138
2.41E+11,1.4413,1.8025,1.250607091
2.42E+11,1.458,1.882,1.290809328
2.42E+11,1.3715,1.882,1.372220197
2.43E+11,1.3406,1.8738,1.397732359
2.43E+11,1.3663,1.8738,1.371441118
2.44E+11,1.5099,1.8074,1.197032916
2.44E+11,1.5435,1.8074,1.170975057
2.45E+11,1.369,1.8928,1.382615047
2.45E+11,1.4934,1.8928,1.267443418
2.46E+11,1.5157,1.8251,1.204130105
2.46E+11,1.3968,1.8251,1.306629439
2.47E+11,1.486,1.8683,1.257267833
2.47E+11,1.3728,1.8683,1.360941142
2.48E+11,1.3356,1.8539,1.388065289
2.48E+11,1.3759,1.8539,1.347408969
2.49E+11,1.4544,1.8382,1.263888889
2.49E+11,1.5478,1.8382,1.18762114
2.5E+11,1.3785,1.8898,1.37091041
2.5E+11,1.4804,1.8898,1.276546879
2.51E+11,1.5294,1.8433,1.205243886
2.51E+11,1.4124,1.8433,1.305083546
2.52E+11,1.4972,1.8863,1.259885119
2.52E+11,1.3858,1.8863,1.361163227
2.53E+11,1.3554,1.838,1.356057252
2.53E+11,1.3503,1.838,1.361178997
2.54E+11,1.4239,1.8475,1.297492801
2.54E+11,1.5802,1.8475,1.169155803
2.55E+11,1.3877,1.7323,1.248324566
2.55E+11,1.4649,1.7323,1.182538057
2.56E+11,1.5295,1.8491,1.208957176
2.56E+11,1.4149,1.8491,1.306876811
2.57E+11,1.4964,1.8903,1.263231756
2.57E+11,1.406,1.8903,1.344452347
2.58E+11,1.3659,1.8431,1.349366718
2.58E+11,1.3149,1.8431,1.401703552
2.58E+11,1.411,1.8431,1.306236712
2.59E+11,1.8856,1.8467,0.979369962
2.59E+11,1.9718,1.8467,0.936555432
2.6E+11,2.4737,1.7261,0.697780652
2.61E+11,2.6937,2.439,0.905446041
2.62E+11,2.6611,2.7958,1.050618165
2.63E+11,2.6931,3.2713,1.214696818
2.64E+11,2.6993,3.2784,1.214537102
2.65E+11,3.1111,3.2854,1.0560252
2.66E+11,3.2932,3.5602,1.081076157
2.67E+11,3.2983,3.9068,1.184488979
2.68E+11,3.3301,4.2533,1.277228912
2.7E+11,3.323,4.2813,1.28838399
2.71E+11,3.3461,4.2816,1.279579212
2.72E+11,3.3249,4.282,1.287858281
2.73E+11,3.3293,4.2875,1.287808248
2.74E+11,3.3139,4.293,1.295452488
2.75E+11,3.3326,4.2884,1.286803097
2.76E+11,2.4954,4.2839,1.716718763
2.77E+11,2.7108,4.0606,1.497934189
2.78E+11,2.6911,3.8374,1.425959645
2.79E+11,2.6716,3.286,1.229974547
2.8E+11,2.7027,3.2848,1.215377215
2.81E+11,3.0247,3.2835,1.085562205
2.82E+11,3.2947,3.4456,1.045800832
2.83E+11,3.3301,3.8387,1.152728146
2.84E+11,3.32,4.2318,1.274638554
2.85E+11,3.3319,4.2518,1.276088718
2.87E+11,3.3312,4.2823,1.285512728
2.88E+11,3.3032,4.2927,1.299558004
2.89E+11,3.2797,4.2843,1.306308504
2.9E+11,3.2852,4.2759,1.301564593
2.91E+11,3.3339,4.2788,1.283421818
2.92E+11,2.6675,4.2816,1.605098407
2.93E+11,2.6813,4.1401,1.544064446
2.94E+11,2.6943,3.9985,1.484058939
2.95E+11,2.6846,3.2616,1.214929598
2.96E+11,2.6999,3.267,1.210044816
2.97E+11,2.8782,3.2723,1.136925856
2.98E+11,3.2696,3.3886,1.036395889
2.99E+11,3.2771,3.8176,1.16493241
3E+11,3.3152,4.2467,1.280978523
3.01E+11,3.3203,4.2595,1.282866006
3.02E+11,3.3044,4.2723,1.29291248
3.03E+11,3.3245,4.2815,1.287862837
3.05E+11,3.3031,4.2971,1.30092943
3.06E+11,3.3064,4.3035,1.301566659
3.07E+11,3.3324,4.2902,1.287420478
308000000000,2.8538,4.2769,1.498668442
3.09E+11,2.6601,4.1708,1.567910981
3.1E+11,2.6913,4.0648,1.510348159
3.11E+11,2.6815,3.2604,1.215886631
3.12E+11,2.72,3.2632,1.199705882
3.13E+11,2.7848,3.266,1.172795174
3.14E+11,3.26,3.2899,1.009171779
3.15E+11,3.2871,3.7506,1.14100575
3.16E+11,3.2791,4.2113,1.284285322
3.17E+11,3.3357,4.2391,1.270827712
3.18E+11,3.3391,4.2669,1.277859303
3.19E+11,3.2886,4.2687,1.298029557
3.2E+11,3.3345,4.2705,1.280701754
3.22E+11,3.2511,4.2802,1.316539018
3.23E+11,3.26,4.282,1.313496933
3.24E+11,3.1711,4.2838,1.350887705
3.25E+11,2.4971,4.223,1.691161748
3.26E+11,2.7052,4.1621,1.538555375
3.26E+11,2.6826,4.1621,1.551517185
3.27E+11,2.7058,3.2508,1.201419174
3.28E+11,2.7027,3.2614,1.206719207
3.29E+11,3.1698,3.272,1.032241782
3.31E+11,3.277,3.698,1.128471163
3.32E+11,3.3059,4.1127,1.244048519
3.33E+11,3.2975,4.1907,1.270871873
3.34E+11,3.3409,4.2688,1.277739531
3.35E+11,3.3308,4.2765,1.283925784
3.36E+11,3.3409,4.2842,1.282349068
3.37E+11,3.288,4.2832,1.302676399
3.38E+11,3.3122,4.2823,1.292886903
3.4E+11,3.3615,4.2778,1.272586643
3.4E+11,2.1202,4.2778,2.017639845
3.4E+11,2.2,4.2778,1.944454545
3.41E+11,2.3018,4.2836,1.860978365
3.42E+11,1.2464,4.2894,3.441431322
3.42E+11,0.9708,4.2894,4.4184178
3.42E+11,0.9831,4.2894,4.363137016
3.43E+11,1.0136,2.6947,2.658543804
3.43E+11,1.8392,2.6947,1.46514789
3.44E+11,1.6911,2.7454,1.623440364
3.44E+11,0.9521,2.7454,2.883520639
3.45E+11,0.9503,2.6257,2.763022204
3.45E+11,0.9518,2.6257,2.758667787
3.45E+11,0.9598,2.6257,2.735674099
3.46E+11,0.9607,2.6723,2.781617571
3.46E+11,0.9652,2.6723,2.768648985
3.46E+11,0.9663,2.6723,2.765497258
3.47E+11,1.6136,2.719,1.685052058
3.48E+11,2.0082,2.7102,1.349566776
3.48E+11,1.9756,2.7102,1.371836404
3.49E+11,2.0128,2.2535,1.119584658
3.5E+11,2.149,2.1339,0.992973476
3.5E+11,2.1701,2.1339,0.983318741
3.51E+11,1.3461,2.147,1.594978085
3.51E+11,0.9622,2.147,2.231344835
3.52E+11,0.9646,2.4932,2.584698321
3.52E+11,0.9609,2.4932,2.594650848
3.52E+11,0.9724,2.4932,2.563965446
3.53E+11,0.9877,2.7637,2.798116837
3.53E+11,1.2415,2.7637,2.226097463
3.54E+11,2.0141,2.7565,1.36860136
3.55E+11,2.4748,2.7493,1.110918054
3.55E+11,2.5324,2.7493,1.085649976
3.56E+11,2.5359,2.1833,0.860956662
3.57E+11,2.4596,3.1489,1.280248821
3.58E+11,2.558,3.2446,1.268412823
3.59E+11,2.4726,3.245,1.312383726
3.6E+11,2.5755,3.2455,1.260143661
3.61E+11,2.5282,3.2785,1.296772407
3.62E+11,2.557,3.2627,1.275987485
3.62E+11,2.2732,3.2627,1.43528946
3.63E+11,2.3233,3.2469,1.397537985
3.64E+11,1.0697,2.8619,2.675423016
3.64E+11,0.9914,2.8619,2.886725842
3.64E+11,1.0149,2.8619,2.819883732
3.65E+11,1.0365,2.8204,2.72108056
3.65E+11,2.1055,2.8204,1.339539302
3.66E+11,1.4203,2.7788,1.956488066
3.66E+11,0.9665,2.7788,2.875116399
3.67E+11,0.9666,2.6878,2.780674529
3.67E+11,0.9638,2.6878,2.788752853
3.67E+11,0.9786,2.6878,2.746576742
3.68E+11,0.9742,2.6614,2.73188257
3.68E+11,0.9832,2.6614,2.706875509
3.68E+11,0.978,2.6614,2.721267894
3.69E+11,1.9783,2.7039,1.366779558
3.7E+11,2.0139,2.5266,1.254580664
3.7E+11,1.9807,2.5266,1.275609633
3.71E+11,2.0181,2.1543,1.067489223
3.72E+11,2.1786,2.1249,0.975351143
3.73E+11,1.9926,2.2781,1.143280137
3.73E+11,1.1278,2.2781,2.019950346
3.73E+11,0.9778,2.2781,2.329822049
3.74E+11,0.9752,2.4982,2.561730927
3.74E+11,0.9861,2.4982,2.533414461
3.74E+11,0.9837,2.4982,2.539595405
3.75E+11,1.0208,2.7183,2.662911442
3.75E+11,1.7285,2.7183,1.572635233
3.76E+11,2.1877,2.7069,1.237326873
3.77E+11,2.5345,2.4466,0.965318603
3.78E+11,2.4913,2.7255,1.094007145
3.79E+11,2.5864,2.9887,1.155544386
