Cumulative Instructions,IPC_03
2.58E+11,1.8431
2.59E+11,1.8467
2.60E+11,1.7261
2.60E+11,1.7051
2.61E+11,2.439
2.62E+11,2.7958
2.63E+11,3.2713
2.65E+11,3.2854
2.66E+11,3.5602
2.68E+11,4.2533
2.70E+11,4.2813
2.72E+11,4.282
2.74E+11,4.293
2.76E+11,4.2839
2.78E+11,3.8374
2.79E+11,3.286
2.81E+11,3.2835
2.82E+11,3.4456
2.84E+11,4.2318
2.86E+11,4.2719
2.88E+11,4.2927
2.90E+11,4.2759
2.92E+11,4.2816
2.94E+11,3.9985
2.95E+11,3.2616
2.97E+11,3.2723
2.98E+11,3.3886
3.00E+11,4.2467
3.02E+11,4.2723
3.04E+11,4.2907
3.06E+11,4.3035
3.08E+11,4.2769
3.10E+11,4.0648
3.11E+11,3.2604
3.13E+11,3.266
3.14E+11,3.2899
3.16E+11,4.2113
3.18E+11,4.2669
3.20E+11,4.2705
3.22E+11,4.2802
3.24E+11,4.2838
3.26E+11,4.1621
3.27E+11,3.2508
3.29E+11,3.272
3.30E+11,3.2834
3.32E+11,4.1127
3.34E+11,4.2688
3.36E+11,4.2842
3.38E+11,4.2823
3.40E+11,4.2778
3.42E+11,4.2894
3.42E+11,2.5427
3.42E+11,2.3195
3.43E+11,2.6947
3.44E+11,2.7454
3.45E+11,2.6257
3.47E+11,2.719
3.48E+11,2.7102
3.49E+11,2.2535
3.50E+11,2.1339
3.51E+11,2.147
3.52E+11,2.4932
3.53E+11,2.7637
3.55E+11,2.7493
3.56E+11,2.1833
3.57E+11,3.1489
3.58E+11,3.2446
3.60E+11,3.2455
3.61E+11,3.2785
3.63E+11,3.2469
3.64E+11,2.8619
3.66E+11,2.7788
3.67E+11,2.6878
3.68E+11,2.6614
3.69E+11,2.7039
3.70E+11,2.5266
3.71E+11,2.1543
3.72E+11,2.1249
3.73E+11,2.2781
3.75E+11,2.7183
3.76E+11,2.7069
3.77E+11,2.4466
3.78E+11,2.7255
3.80E+11,3.2519
3.81E+11,3.2742
3.83E+11,3.2027
3.84E+11,3.2902
3.86E+11,3.176
3.87E+11,2.6653
3.88E+11,2.7282
3.89E+11,2.6283
3.91E+11,2.7064
3.92E+11,2.7227
3.93E+11,2.1488
3.94E+11,2.1359
3.95E+11,2.1584
3.96E+11,2.5771
3.97E+11,2.7685
3.98E+11,2.685
3.99E+11,2.2989
4.01E+11,3.2419
4.02E+11,3.1736
4.04E+11,3.3436
4.05E+11,3.1643
4.07E+11,3.3178
4.08E+11,2.729
4.09E+11,2.7584
4.11E+11,2.6698
4.12E+11,2.6846
4.13E+11,2.7094
4.14E+11,2.4111
4.15E+11,2.1476
4.16E+11,2.1255
4.17E+11,2.3762
4.19E+11,2.7454
4.20E+11,2.7196
4.21E+11,2.3306
4.22E+11,2.8929
4.24E+11,3.302
4.25E+11,3.2073
4.27E+11,3.1958
4.28E+11,3.2624
